unit_id,apn,address,unit_label,bedrooms,status,mar_2023_cents,mar_2026_cents,mar_delta_cents,mar_pct,tenancy_2023,tenancy_2026,tenancy_changed
100-wilshire-blvd,,100 WILSHIRE BLVD,,0,gone_by_2026,0,,,,,,
1000-ashland-ave-1,4285027001,1000 ASHLAND AVE,1,2,present_both,330400,299500,-30900,-9.4,2020-08-01,2024-11-01,1
1000-ashland-ave-2,4285027001,1000 ASHLAND AVE,2,3,present_both,131200,142100,10900,8.3,,,
1000-ashland-ave-3,4285027001,1000 ASHLAND AVE,3,2,present_both,212200,229800,17600,8.3,2004-03-01,2004-03-01,
1000-ashland-ave-4,4285027001,1000 ASHLAND AVE,4,4,present_both,143700,155600,11900,8.3,,,
1000-ashland-ave-5,4285027001,1000 ASHLAND AVE,5,3,present_both,131200,142100,10900,8.3,,,
1000-ashland-ave-6,4285027001,1000 ASHLAND AVE,6,3,present_both,212200,229800,17600,8.3,2004-02-09,2004-02-09,
1000-ashland-ave-7,4285027001,1000 ASHLAND AVE,7,2,present_both,313600,305500,-8100,-2.6,2019-06-01,2024-07-24,1
1001-12th-st,4281018024,1001 12TH ST,,1,present_both,360000,380300,20300,5.6,2022-07-09,2022-07-09,
1001-16th-st,4281003021,1001 16TH ST,,2,present_both,332900,353200,20300,6.1,2019-06-01,2019-06-01,
1001-19th-st-a,4277025065,1001 19TH ST,A,1,present_both,90200,97700,7500,8.3,,,
1001-19th-st-b,4277025066,1001 19TH ST,B,1,present_both,83800,90700,6900,8.2,,,
1001-19th-st-c,4277025067,1001 19TH ST,C,1,present_both,86900,94100,7200,8.3,,,
1001-19th-st-d,4277025068,1001 19TH ST,D,2,present_both,146000,158200,12200,8.4,,,
1001-19th-st-e,4277025069,1001 19TH ST,E,1,present_both,91400,99000,7600,8.3,,,
1001-19th-st-f,4277025070,1001 19TH ST,F,1,present_both,93000,100800,7800,8.4,,,
1001-19th-st-g,4277025071,1001 19TH ST,G,3,present_both,0,0,0,,,,
1001-19th-st-j,4277025072,1001 19TH ST,J,3,present_both,0,0,0,,,,
1001-20th-st,4277024049,1001 20TH ST,,1,present_both,90300,97800,7500,8.3,,,
1001-20th-st-a,4277024050,1001 20TH ST,A,1,new_since_2023,,60700,,,,,
1001-3rd-st-102,4292019015,1001 3RD ST,102,1,present_both,195100,195100,0,0.0,,,
1001-3rd-st-103,4292019015,1001 3RD ST,103,0,present_both,606900,606900,0,0.0,2000-11-22,2000-11-22,
1001-3rd-st-104,4292019015,1001 3RD ST,104,0,present_both,388800,388800,0,0.0,2000-11-25,2000-11-25,
1001-3rd-st-106,4292019015,1001 3RD ST,106,2,present_both,693800,693800,0,0.0,1999-04-22,1999-04-22,
1001-3rd-st-107,4292019015,1001 3RD ST,107,1,present_both,628800,628800,0,0.0,1999-04-30,1999-04-30,
1001-3rd-st-108,4292019015,1001 3RD ST,108,1,present_both,125800,125800,0,0.0,,,
1001-3rd-st-109,4292019015,1001 3RD ST,109,0,present_both,563900,563900,0,0.0,1999-08-05,1999-08-05,
1001-3rd-st-110,4292019015,1001 3RD ST,110,1,present_both,544600,544600,0,0.0,2000-08-09,2000-08-09,
1001-3rd-st-111,4292019015,1001 3RD ST,111,1,present_both,625800,625800,0,0.0,2000-07-10,2000-07-10,
1001-3rd-st-112,4292019015,1001 3RD ST,112,0,present_both,385300,385300,0,0.0,1999-05-02,1999-05-02,
1001-3rd-st-20,4292019015,1001 3RD ST,20,2,present_both,93900,93900,0,0.0,,,
1001-3rd-st-201,4292019015,1001 3RD ST,201,0,present_both,385300,385300,0,0.0,1999-04-30,1999-04-30,
1001-3rd-st-202,4292019015,1001 3RD ST,202,1,present_both,644700,644700,0,0.0,2000-05-12,2000-05-12,
1001-3rd-st-203,4292019015,1001 3RD ST,203,0,present_both,109300,109300,0,0.0,,,
1001-3rd-st-204,4292019015,1001 3RD ST,204,0,present_both,385300,385300,0,0.0,1999-05-03,1999-05-03,
