unit_id,apn,address,unit_label,prev_observed_at,observed_at,old_mar_cents,new_mar_cents,delta_cents,delta_pct,old_tenancy,new_tenancy,reason,mar_status_change
1000-ashland-ave-1,4285027001,1000 ASHLAND AVE,1,2023-07-19,2026-06-07,330400,299500,-30900,-9.4,2020-08-01,2024-11-01,new_tenancy,
1000-ashland-ave-2,4285027001,1000 ASHLAND AVE,2,2023-07-19,2026-06-07,131200,142100,10900,8.3,,,mar_adjustment,
1000-ashland-ave-3,4285027001,1000 ASHLAND AVE,3,2023-07-19,2026-06-07,212200,229800,17600,8.3,2004-03-01,2004-03-01,mar_adjustment,
1000-ashland-ave-4,4285027001,1000 ASHLAND AVE,4,2023-07-19,2026-06-07,143700,155600,11900,8.3,,,mar_adjustment,
1000-ashland-ave-5,4285027001,1000 ASHLAND AVE,5,2023-07-19,2026-06-07,131200,142100,10900,8.3,,,mar_adjustment,
1000-ashland-ave-6,4285027001,1000 ASHLAND AVE,6,2023-07-19,2026-06-07,212200,229800,17600,8.3,2004-02-09,2004-02-09,mar_adjustment,
1000-ashland-ave-7,4285027001,1000 ASHLAND AVE,7,2023-07-19,2026-06-07,313600,305500,-8100,-2.6,2019-06-01,2024-07-24,new_tenancy,
1001-12th-st,4281018024,1001 12TH ST,,2023-07-19,2026-06-07,360000,380300,20300,5.6,2022-07-09,2022-07-09,mar_adjustment,
1001-16th-st,4281003021,1001 16TH ST,,2023-07-19,2026-06-07,332900,353200,20300,6.1,2019-06-01,2019-06-01,mar_adjustment,
1001-19th-st-a,4277025065,1001 19TH ST,A,2023-07-19,2026-06-07,90200,97700,7500,8.3,,,mar_adjustment,
1001-19th-st-b,4277025066,1001 19TH ST,B,2023-07-19,2026-06-07,83800,90700,6900,8.2,,,mar_adjustment,
1001-19th-st-c,4277025067,1001 19TH ST,C,2023-07-19,2026-06-07,86900,94100,7200,8.3,,,mar_adjustment,
1001-19th-st-d,4277025068,1001 19TH ST,D,2023-07-19,2026-06-07,146000,158200,12200,8.4,,,mar_adjustment,
1001-19th-st-e,4277025069,1001 19TH ST,E,2023-07-19,2026-06-07,91400,99000,7600,8.3,,,mar_adjustment,
1001-19th-st-f,4277025070,1001 19TH ST,F,2023-07-19,2026-06-07,93000,100800,7800,8.4,,,mar_adjustment,
1001-20th-st,4277024049,1001 20TH ST,,2023-07-19,2026-06-07,90300,97800,7500,8.3,,,mar_adjustment,
1001-3rd-st-302,4292019015,1001 3RD ST,302,2023-07-19,2026-06-07,158000,171100,13100,8.3,,,mar_adjustment,
1001-3rd-st-306,4292019015,1001 3RD ST,306,2023-07-19,2026-06-07,115100,124600,9500,8.3,,,mar_adjustment,
1001-hill-st-1,4285001006,1001 HILL ST,1,2023-07-19,2026-06-07,187300,333600,146300,78.1,2001-04-01,2023-07-01,new_tenancy,
1001-hill-st-2,4285001006,1001 HILL ST,2,2023-07-19,2026-06-07,235000,247700,12700,5.4,2023-01-01,2023-01-01,mar_adjustment,
