metric,value
controlled_multifamily_parcel,26762
controlled_single_parcel,3952
controlled_small_parcel,2193
controlled_use_commercial,954
controlled_use_five_plus,22596
controlled_use_four,2441
controlled_use_other,302
controlled_use_single,4211
controlled_use_three,1276
controlled_use_two,824
controlled_use_unknown,303
registry_controlled_positive_mar,32907
registry_multifamily_controlled,26762
registry_rcb_comparable,26560
registry_units_total,35424
registry_zero_mar,2517
report_as_of,2025-12-31
report_controlled_total,27589
