unit_id,apn,bedrooms,mar_status,parcel_unit_count,size_class,use_class,rcb_comparable
1000-ashland-ave-1,4285027001,2,controlled,7,multifamily,five_plus,1
1000-ashland-ave-2,4285027001,3+,controlled,7,multifamily,five_plus,1
1000-ashland-ave-3,4285027001,2,controlled,7,multifamily,five_plus,1
1000-ashland-ave-4,4285027001,3+,controlled,7,multifamily,five_plus,1
1000-ashland-ave-5,4285027001,3+,controlled,7,multifamily,five_plus,1
1000-ashland-ave-6,4285027001,3+,controlled,7,multifamily,five_plus,1
1000-ashland-ave-7,4285027001,2,controlled,7,multifamily,five_plus,1
1001-12th-st,4281018024,1,controlled,9,multifamily,five_plus,1
1001-16th-st,4281003021,2,controlled,6,multifamily,five_plus,1
1001-19th-st-a,4277025065,1,controlled,1,single,single,0
1001-19th-st-b,4277025066,1,controlled,1,single,single,0
1001-19th-st-c,4277025067,1,controlled,1,single,single,0
1001-19th-st-d,4277025068,2,controlled,1,single,single,0
1001-19th-st-e,4277025069,1,controlled,1,single,single,0
1001-19th-st-f,4277025070,1,controlled,1,single,single,0
1001-19th-st-g,4277025071,3+,zero_mar,1,single,single,0
1001-19th-st-j,4277025072,3+,zero_mar,1,single,single,0
1001-20th-st,4277024049,1,controlled,1,single,single,0
1001-20th-st-a,4277024050,1,controlled,1,single,single,0
1001-3rd-st-102,4292019015,1,controlled,38,multifamily,commercial,1
1001-3rd-st-103,4292019015,0,controlled,38,multifamily,commercial,1
1001-3rd-st-104,4292019015,0,controlled,38,multifamily,commercial,1
1001-3rd-st-106,4292019015,2,controlled,38,multifamily,commercial,1
1001-3rd-st-107,4292019015,1,controlled,38,multifamily,commercial,1
1001-3rd-st-108,4292019015,1,controlled,38,multifamily,commercial,1
1001-3rd-st-109,4292019015,0,controlled,38,multifamily,commercial,1
1001-3rd-st-110,4292019015,1,controlled,38,multifamily,commercial,1
1001-3rd-st-111,4292019015,1,controlled,38,multifamily,commercial,1
1001-3rd-st-112,4292019015,0,controlled,38,multifamily,commercial,1
1001-3rd-st-20,4292019015,2,controlled,38,multifamily,commercial,1
1001-3rd-st-201,4292019015,0,controlled,38,multifamily,commercial,1
1001-3rd-st-202,4292019015,1,controlled,38,multifamily,commercial,1
1001-3rd-st-203,4292019015,0,controlled,38,multifamily,commercial,1
1001-3rd-st-204,4292019015,0,controlled,38,multifamily,commercial,1
1001-3rd-st-205,4292019015,0,controlled,38,multifamily,commercial,1
1001-3rd-st-207,4292019015,1,controlled,38,multifamily,commercial,1
1001-3rd-st-208,4292019015,0,controlled,38,multifamily,commercial,1
1001-3rd-st-209,4292019015,1,controlled,38,multifamily,commercial,1
1001-3rd-st-21,4292019015,0,controlled,38,multifamily,commercial,1
1001-3rd-st-210,4292019015,0,controlled,38,multifamily,commercial,1
1001-3rd-st-211,4292019015,1,controlled,38,multifamily,commercial,1
1001-3rd-st-212,4292019015,0,controlled,38,multifamily,commercial,1
1001-3rd-st-214,4292019015,0,controlled,38,multifamily,commercial,1
1001-3rd-st-301,4292019015,0,controlled,38,multifamily,commercial,1
1001-3rd-st-302,4292019015,1,controlled,38,multifamily,commercial,1
1001-3rd-st-303,4292019015,0,controlled,38,multifamily,commercial,1
1001-3rd-st-304,4292019015,0,controlled,38,multifamily,commercial,1
1001-3rd-st-305,4292019015,1,controlled,38,multifamily,commercial,1
1001-3rd-st-306,4292019015,1,controlled,38,multifamily,commercial,1
1001-3rd-st-307,4292019015,1,controlled,38,multifamily,commercial,1
1001-3rd-st-308,4292019015,1,controlled,38,multifamily,commercial,1
1001-3rd-st-309,4292019015,0,controlled,38,multifamily,commercial,1
1001-3rd-st-310,4292019015,0,controlled,38,multifamily,commercial,1
1001-3rd-st-311,4292019015,1,controlled,38,multifamily,commercial,1
1001-3rd-st-312,4292019015,0,controlled,38,multifamily,commercial,1
1001-3rd-st-314,4292019015,0,controlled,38,multifamily,commercial,1
1001-3rd-st-ph,4292019015,3+,controlled,38,multifamily,commercial,1
1001-hill-st-1,4285001006,2,controlled,7,multifamily,five_plus,1
1001-hill-st-2,4285001006,1,controlled,7,multifamily,five_plus,1
1001-hill-st-3,4285001006,1,controlled,7,multifamily,five_plus,1
1001-hill-st-4,4285001006,1,controlled,7,multifamily,five_plus,1
1001-hill-st-5,4285001006,1,controlled,7,multifamily,five_plus,1
