siteaddress,SMAddress,FULLSTNO,UMAddress,Parcel
711, 10TH ST,715, 10TH ST,4280024023
951, 10TH ST,955, 10TH ST,4281025013
951, 10TH ST,953, 10TH ST,4281025013
951, 10TH ST,957, 10TH ST,4281025013
951, 10TH ST,953, 10TH ST,4281025013
951, 10TH ST,953, 10TH ST,4281025013
951, 10TH ST,955, 10TH ST,4281025013
951, 10TH ST,955, 10TH ST,4281025013
951, 10TH ST,955, 10TH ST,4281025013
1031, 10TH ST,1033, 10TH ST,4281026010
1031, 10TH ST,1033, 10TH ST,4281026010
1031, 10TH ST,1033, 10TH ST,4281026010
1031, 10TH ST,1033, 10TH ST,4281026010
1031, 10TH ST,1033, 10TH ST,4281026010
1517, 10TH ST,1519, 10TH ST,4282030020
1525, 10TH ST,1527, 10TH ST,4282030027
1525, 10TH ST,1527, 10TH ST,4282030027
1525, 10TH ST,1527, 10TH ST,4282030027
1525, 10TH ST,1527, 10TH ST,4282030027
1525, 10TH ST,1527, 10TH ST,4282030027
1525, 10TH ST,1527, 10TH ST,4282030027
1525, 10TH ST,1527, 10TH ST,4282030027
1525, 10TH ST,1527, 10TH ST,4282030027
1525, 10TH ST,1527, 10TH ST,4282030027
1525, 10TH ST,1527, 10TH ST,4282030027
1525, 10TH ST,1527, 10TH ST,4282030027
1417, 10TH ST,1419, 10TH ST,4282025023
1417, 10TH ST,1419, 10TH ST,4282025023
1417, 10TH ST,1419, 10TH ST,4282025023
1833, 10TH ST,1837, 10TH ST,4283023023
1833, 10TH ST,1837, 10TH ST,4283023023
1833, 10TH ST,1837, 10TH ST,4283023023
1873, 10TH ST,1875, 10TH ST,4283023058
1873, 10TH ST,1875, 10TH ST,4283023058
1759, 10TH ST,1761, 10TH ST,4283017023
918, 10TH ST,920, 10TH ST,4281030005
724, 10TH ST,726, 10TH ST,4280023013
852, 10TH ST,854, 10TH ST,4281031010
948, 10TH ST,950, 10TH ST,4281030011
948, 10TH ST,950, 10TH ST,4281030011
948, 10TH ST,950, 10TH ST,4281030011
948, 10TH ST,950, 10TH ST,4281030011
1018, 10TH ST,1020, 10TH ST,4281029004
1018, 10TH ST,1020, 10TH ST,4281029004
1018, 10TH ST,1020, 10TH ST,4281029004
1018, 10TH ST,1020, 10TH ST,4281029004
1018, 10TH ST,1020, 10TH ST,4281029004
1330, 10TH ST,1332, 10TH ST,4282011008
1322, 10TH ST,1324, 10TH ST,4282011006
1852, 10TH ST,1854, 10TH ST,4283022011
2101, 10TH ST,2109, 10TH ST,4284014001
1915, 10TH ST,1917, 10TH ST,4284016020
1915, 10TH ST,1919, 10TH ST,4284016020
1915, 10TH ST,1921, 10TH ST,4284016020
1915, 10TH ST,1923, 10TH ST,4284016020
1915, 10TH ST,1925, 10TH ST,4284016020
2007, 10TH ST,2009, 10TH ST,4284015001
2007, 10TH ST,2011, 10TH ST,4284015001
2315, 10TH ST,2325, 10TH ST,4284012011
1916, 10TH ST,1920, 10TH ST,4284001016
1916, 10TH ST,1926, 10TH ST,4284001016
1916, 10TH ST,1920, 10TH ST,4284001016
1916, 10TH ST,1920, 10TH ST,4284001016
1916, 10TH ST,1920, 10TH ST,4284001016
1916, 10TH ST,1920, 10TH ST,4284001016
1916, 10TH ST,1920, 10TH ST,4284001016
1916, 10TH ST,1926, 10TH ST,4284001016
1916, 10TH ST,1926, 10TH ST,4284001016
1916, 10TH ST,1926, 10TH ST,4284001016
1916, 10TH ST,1926, 10TH ST,4284001016
2010, 10TH ST,2012, 10TH ST,4284002014
2028, 10TH ST,2030, 10TH ST,4284002015
2501, 10TH ST,2505, 10TH ST,4284009011
2501, 10TH ST,2509, 10TH ST,4284009011
2501, 10TH ST,2511, 10TH ST,4284009011
2519, 10TH ST,2521, 10TH ST,4284009010
2519, 10TH ST,2523, 10TH ST,4284009010
2519, 10TH ST,2525, 10TH ST,4284009010
2220, 10TH ST,2222, 10TH ST,4284004013
2220, 10TH ST,2224, 10TH ST,4284004013
2220, 10TH ST,2226, 10TH ST,4284004013
2302, 10TH ST,2306, 10TH ST,4284005014
2302, 10TH ST,2308, 10TH ST,4284005014
2302, 10TH ST,2312, 10TH ST,4284005014
1851, 10TH ST,1853, 10TH ST,4283023027
1048, 10TH ST,1050, 10TH ST,4281029010
1048, 10TH ST,1050, 10TH ST,4281029010
1048, 10TH ST,1050, 10TH ST,4281029010
1048, 10TH ST,1050, 10TH ST,4281029010
1048, 10TH ST,1050, 10TH ST,4281029010
2007, 10TH ST,1002, BAY ST,4284015001
1916, 10TH ST,855, BAY ST,4284001016
1916, 10TH ST,855, BAY ST,4284001016
1916, 10TH ST,855, BAY ST,4284001016
1916, 10TH ST,855, BAY ST,4284001016
1916, 10TH ST,855, BAY ST,4284001016
2010, 10TH ST,854, BAY ST,4284002014
402, 10TH ST,920, CARLYLE AVE,4280013001
2101, 10TH ST,1002, GRANT ST,4284014001
2101, 10TH ST,1002, GRANT ST,4284014001
2101, 10TH ST,1002, GRANT ST,4284014001
2101, 10TH ST,1002, GRANT ST,4284014001
2101, 10TH ST,1002, GRANT ST,4284014001
2028, 10TH ST,915, GRANT ST,4284002015
1759, 10TH ST,1003, MICHIGAN AVE,4283017023
1759, 10TH ST,1005, MICHIGAN AVE,4283017023
1759, 10TH ST,1007, MICHIGAN AVE,4283017023
1760, 10TH ST,921, MICHIGAN AVE,4283018001
1873, 10TH ST,1011, PICO BLVD,4283023058
1873, 10TH ST,1011, PICO BLVD,4283023058
1873, 10TH ST,1011, PICO BLVD,4283023058
1873, 10TH ST,1011, PICO BLVD,4283023058
1873, 10TH ST,1011, PICO BLVD,4283023058
1873, 10TH ST,1011, PICO BLVD,4283023058
1873, 10TH ST,1011, PICO BLVD,4283023058
1873, 10TH ST,1011, PICO BLVD,4283023058
1873, 10TH ST,1011, PICO BLVD,4283023058
1873, 10TH ST,1011, PICO BLVD,4283023058
1873, 10TH ST,1011, PICO BLVD,4283023058
1873, 10TH ST,1011, PICO BLVD,4283023058
1873, 10TH ST,1011, PICO BLVD,4283023058
1873, 10TH ST,1011, PICO BLVD,4283023058
1873, 10TH ST,1011, PICO BLVD,4283023058
1873, 10TH ST,1011, PICO BLVD,4283023058
1873, 10TH ST,1011, PICO BLVD,4283023058
1873, 10TH ST,1011, PICO BLVD,4283023058
