PARCEL_NO,FULLSTNO,SITEMASTER_ADDRESS,ZIP,CITYAREA
4070019008,2605,32ND ST,90405,B
4264016003,3312,MONTANA AVE,90403,G
4264016030,905,CENTINELA AVE,90403,G
4264016037,3308,MONTANA AVE,90403,G
4264016048,907,CENTINELA AVE,90403,G
4264017021,949,CENTINELA AVE,90403,G
4264017024,943,CENTINELA AVE,90403,G
4264017030,925,CENTINELA AVE,90403,G
4264017032,919,CENTINELA AVE,90403,G
4264017046,937,CENTINELA AVE,90403,G
4264018001,1043,CENTINELA AVE,90403,G
4264018003,1039,CENTINELA AVE,90403,G
4264018005,1035,CENTINELA AVE,90403,G
4264018008,1029,CENTINELA AVE,90403,G
4264018009,1023,CENTINELA AVE,90403,G
4264018011,1017,CENTINELA AVE,90403,G
4264018015,1009,CENTINELA AVE,90403,G
4264018017,1001,CENTINELA AVE,90403,G
4264018037,1051,CENTINELA AVE,90049,G
4264018050,1013,CENTINELA AVE,90403,G
4264019003,1173,CENTINELA AVE,90403,G
4264019005,1165,CENTINELA AVE,90403,G
4264019007,1159,CENTINELA AVE,90403,G
4264019009,1147,CENTINELA AVE,90403,G
4264019011,1145,CENTINELA AVE,90403,G
4264019014,1141,CENTINELA AVE,90403,G
4264019015,1133,CENTINELA AVE,90403,G
4264019018,1127,CENTINELA AVE,90403,G
4264019019,1123,CENTINELA AVE,90403,G
4264019022,1115,CENTINELA AVE,90403,G
4266001022,1165,FRANKLIN ST,90403,G
4266001023,1157,FRANKLIN ST,90403,G
4266001024,1153,FRANKLIN ST,90403,G
4266001025,1147,FRANKLIN ST,90403,G
4266001031,1111,FRANKLIN ST,90403,G
4266001035,1116,CENTINELA AVE,90403,G
4266001038,1136,CENTINELA AVE,90403,G
4266001039,1140,CENTINELA AVE,90403,G
4266001040,1148,CENTINELA AVE,90403,G
4266001041,1154,CENTINELA AVE,90403,G
4266001043,1166,CENTINELA AVE,90403,G
4266001044,1172,CENTINELA AVE,90403,G
4266002044,1035,FRANKLIN ST,90403,G
4266002047,1015,FRANKLIN ST,90403,G
4266002048,1005,FRANKLIN ST,90403,G
4266002049,910,CENTINELA AVE,90403,G
4266002050,920,CENTINELA AVE,90403,G
4266002051,926,CENTINELA AVE,90403,G
4266002054,944,CENTINELA AVE,90403,G
4266002056,958,CENTINELA AVE,90403,G
