parcel_no,UNIT_ID,MAR1,UNITMASTER_ADDRESS,UNITMASTER_UNIT_ID,BEDROOM,effectivedate
4264017046,933,0,933 CENTINELA AVE, ,0,
4264017046,937,0,937 CENTINELA AVE, ,0,
4266001024,1153,0,1153 FRANKLIN ST, ,0,
4266001043,1166-1,0,1166 CENTINELA AVE,1,3,
4266001043,1166-2,0,1166 CENTINELA AVE,2,2,
4266002050,920,4307,920 CENTINELA AVE, ,4,
4266002061,1016,0,1016 CENTINELA AVE, ,0,
4266002064,1036,0,1036 CENTINELA AVE, ,0,
4266004019,861,2894,861 BERKELEY ST, ,4,
4266004022,843,3297,843 BERKELEY ST, ,4,
4266005043,903,2540,903 STANFORD ST, ,4,
4266005066,867,5078,867 BERKELEY ST, ,3,
4266006060,1022,0,1022 FRANKLIN ST, ,0,
4266008043,1137,0,1137 STANFORD ST, ,3,
4266008044,1133,1927,1133 STANFORD ST, ,4,
4266008060,1164-A,1918,1164 BERKELEY ST,A,1,6/1/2003 1:00:00 AM
4266008060,1164-B,1722,1164 BERKELEY ST,B,1,12/1/2009 1:00:00 AM
4266008060,1164-C,1835,1164 BERKELEY ST,C,1,8/4/2001 1:00:00 AM
4266008060,1164-D,1877,1164 BERKELEY ST,D,1,6/1/2003 1:00:00 AM
4266008067,1165,3351,1165 STANFORD ST, ,2,
4266008067,1165-A,577,1165 STANFORD ST,A,1,
4266008067,1165-B,562,1165 STANFORD ST,B,0,
4266008067,1165-C,663,1165 STANFORD ST,C,1,
4266008067,1165-D,663,1165 STANFORD ST,D,1,
4266009038,1145-1,1135,1145 YALE ST,1,2,
4266009038,1145-10,2295,1145 YALE ST,10,1,1/1/2022 1:00:00 AM
4266009038,1145-11,2710,1145 YALE ST,11,2,4/1/2015 1:00:00 AM
4266009038,1145-12,1854,1145 YALE ST,12,1,4/1/2002 1:00:00 AM
4266009038,1145-14,2261,1145 YALE ST,14,1,8/1/2021 1:00:00 AM
4266009038,1145-15,2565,1145 YALE ST,15,2,4/1/2021 1:00:00 AM
4266009038,1145-2,2270,1145 YALE ST,2,1,2/21/2018 1:00:00 AM
4266009038,1145-3,1996,1145 YALE ST,3,1,6/1/2012 1:00:00 AM
4266009038,1145-4,2785,1145 YALE ST,4,2,2/1/2018 1:00:00 AM
4266009038,1145-5,2378,1145 YALE ST,5,1,8/6/2016 1:00:00 AM
4266009038,1145-6,2304,1145 YALE ST,6,1,5/15/2020 1:00:00 AM
4266009038,1145-7,2717,1145 YALE ST,7,2,8/1/2014 1:00:00 AM
4266009038,1145-8,1316,1145 YALE ST,8,2,
4266009038,1145-9,870,1145 YALE ST,9,1,
4266009059,1143-A,2295,1143 HARVARD ST,A,1,2/1/2022 2:16:00 PM
4266009059,1143-B,2034,1143 HARVARD ST,B,1,6/11/2021 1:00:00 AM
4266009059,1143-C,2520,1143 HARVARD ST,C,2,2/1/2021 1:00:00 AM
4266009059,1143-D,811,1143 HARVARD ST,D,1,
4266009059,1143-E,1674,1143 HARVARD ST,E,1,8/5/2012 1:00:00 AM
4266009059,1143-F,1025,1143 HARVARD ST,F,0,7/16/2021 1:00:00 AM
4266009086,1144-1,3180,1144 STANFORD ST,1,2,2/2/2018 1:00:00 AM
4266009087,1144-2,798,1144 STANFORD ST,2,1,
4266009088,1144-3,2284,1144 STANFORD ST,3,1,4/1/2006 1:00:00 AM
4266009089,1144-4,1815,1144 STANFORD ST,4,1,5/24/2002 1:00:00 AM
4266009090,1144-5,3085,1144 STANFORD ST,5,2,1/1/2016 1:00:00 AM
4266009091,1144-6,2502,1144 STANFORD ST,6,1,1/6/2014 1:00:00 AM
4266009092,1144-7,2274,1144 STANFORD ST,7,1,9/15/2015 1:00:00 AM
4266009093,1144-8,763,1144 STANFORD ST,8,1,
4266009094,1144-9,2332,1144 STANFORD ST,9,1,10/12/2018 1:00:00 AM
4266010025,1064,0,1064 STANFORD ST, ,0,
4266010025,1064-A,3053,1064 STANFORD ST,A,2,
4266010038,2826,0,2826 WASHINGTON AVE, ,2,
4266010039,2832,0,2832 WASHINGTON AVE, ,0,
4266010057,1053,2384,1053 HARVARD ST, ,3,
4266011049,2901,1715,2901 WASHINGTON AVE, ,2,
4266011071,917,2432,917 HARVARD ST, ,2,
4266011073,927,1086,927 HARVARD ST, ,3,
4266011081,2821,0,2821 WASHINGTON AVE, ,0,
4266011083,960,2198,960 YALE ST, ,3,
4266011085,944,5319,944 STANFORD ST, ,4,
4266012001,2804,2740,2804 MONTANA AVE, ,1,1/10/2017 1:00:00 AM
4266012001,2808,3200,2808 MONTANA AVE, ,1,3/1/2022 1:00:00 AM
4266012001,801,3001,801 HARVARD ST, ,2,10/1/2007 1:00:00 AM
4266012001,805,2209,805 HARVARD ST, ,1,2/1/2010 1:00:00 AM
4266012001,807,4395,807 HARVARD ST, ,2,1/15/2017 1:00:00 AM
4266012001,809,2297,809 HARVARD ST, ,1,2/1/2013 1:00:00 AM
4266012001,811,2750,811 HARVARD ST, ,1,2/17/2022 1:00:00 AM
4266012001,813,2880,813 HARVARD ST, ,1,3/7/2018 1:00:00 AM
4266012002,2812-A,2780,2812 MONTANA AVE,A,1,9/5/2015 1:00:00 AM
4266012002,2812-B,2718,2812 MONTANA AVE,B,2,7/13/2003 1:00:00 AM
4266012002,2812-C,2882,2812 MONTANA AVE,C,2,11/23/2010 1:00:00 AM
4266012002,2812-D,2341,2812 MONTANA AVE,D,1,12/1/2011 1:00:00 AM
4266012002,2812-E,1153,2812 MONTANA AVE,E,1,
4266012002,2812-F,1495,2812 MONTANA AVE,F,0,11/15/2021 2:56:00 PM
4266012003,2816-1/2,574,2816 MONTANA AVE,1/2,1,
4266012003,2816-A,2357,2816 MONTANA AVE,A,2,10/1/2014 1:00:00 AM
4266012003,2816-B,0,2816 MONTANA AVE,B,1,
4266012003,2816-C,1808,2816 MONTANA AVE,C,1,7/1/2003 1:00:00 AM
4266012003,2816-D,2245,2816 MONTANA AVE,D,1,7/1/2015 1:00:00 AM
4266012004,2822-A,3285,2822 MONTANA AVE,A,1,6/1/2016 1:00:00 AM
4266012004,2822-B,1860,2822 MONTANA AVE,B,1,5/1/2004 1:00:00 AM
4266012004,2822-C,2032,2822 MONTANA AVE,C,1,4/1/2004 1:00:00 AM
4266012004,2822-D,1617,2822 MONTANA AVE,D,1,6/1/2014 1:00:00 AM
4266012005,2826-A,3088,2826 MONTANA AVE,A,2,11/1/2008 1:00:00 AM
4266012005,2826-B,2880,2826 MONTANA AVE,B,2,5/15/2016 1:00:00 AM
4266012005,2828-A,3336,2828 MONTANA AVE,A,2,11/1/2018 1:00:00 AM
4266012005,2828-B,1638,2828 MONTANA AVE,B,2,
4266012006,804,0,804 YALE ST, ,2,
4266012006,808,0,808 YALE ST, ,2,
4266012006,810,0,810 YALE ST, ,3,
4266012056,801,3600,801 YALE ST, ,1,11/15/2006 1:00:00 AM
4266012056,803,4130,803 YALE ST, ,2,2/1/2007 1:00:00 AM
4266012056,805,3072,805 YALE ST, ,1,7/1/2007 1:00:00 AM
4266012056,807,2966,807 YALE ST, ,1,6/15/2007 1:00:00 AM
4266012059,2918,691,2918 MONTANA AVE, ,1,
4266012059,2918-A,1793,2918 MONTANA AVE,A,2,7/1/2011 1:00:00 AM
