unit_id,observed_at,mar_amount_cents,tenancy_date,source
1000-ashland-ave-1,2012-09-01,110700,,portal_mar_report
1000-ashland-ave-1,2013-09-01,111800,,portal_mar_report
1000-ashland-ave-1,2014-09-01,112700,,portal_mar_report
1000-ashland-ave-1,2016-09-01,114700,,portal_mar_report
1000-ashland-ave-1,2017-09-01,117000,,portal_mar_report
1000-ashland-ave-1,2018-09-01,120400,,portal_mar_report
1000-ashland-ave-1,2019-09-01,319500,2019-08-01,portal_mar_report
1000-ashland-ave-1,2020-09-01,319500,2020-08-01,portal_mar_report
1000-ashland-ave-1,2021-09-01,323400,2020-08-01,portal_mar_report
1000-ashland-ave-1,2023-07-19,330400,2020-08-01,mar_tool
1000-ashland-ave-1,2023-09-01,337100,2020-08-01,portal_mar_report
1000-ashland-ave-1,2026-06-07,299500,2024-11-01,mar_tool
1000-ashland-ave-2,2012-09-01,111500,,portal_mar_report
1000-ashland-ave-2,2013-09-01,112600,,portal_mar_report
1000-ashland-ave-2,2014-09-01,113500,,portal_mar_report
1000-ashland-ave-2,2015-09-01,114000,,portal_mar_report
1000-ashland-ave-2,2016-09-01,115500,,portal_mar_report
1000-ashland-ave-2,2017-09-01,117800,,portal_mar_report
1000-ashland-ave-2,2018-09-01,121200,,portal_mar_report
1000-ashland-ave-2,2019-09-01,123600,,portal_mar_report
1000-ashland-ave-2,2020-09-01,125300,,portal_mar_report
1000-ashland-ave-2,2021-09-01,127400,,portal_mar_report
1000-ashland-ave-2,2023-07-19,131200,,mar_tool
1000-ashland-ave-2,2023-09-01,134900,,portal_mar_report
1000-ashland-ave-2,2024-09-01,138900,,portal_mar_report
1000-ashland-ave-2,2026-06-07,142100,,mar_tool
1000-ashland-ave-3,2012-09-01,180400,2004-03-01,portal_mar_report
1000-ashland-ave-3,2013-09-01,182200,2004-03-01,portal_mar_report
1000-ashland-ave-3,2014-09-01,183600,2004-03-01,portal_mar_report
1000-ashland-ave-3,2015-09-01,184300,2004-03-01,portal_mar_report
1000-ashland-ave-3,2016-09-01,186700,2004-03-01,portal_mar_report
1000-ashland-ave-3,2017-09-01,190400,2004-03-01,portal_mar_report
1000-ashland-ave-3,2018-09-01,195900,2004-03-01,portal_mar_report
1000-ashland-ave-3,2019-09-01,199800,2004-03-01,portal_mar_report
1000-ashland-ave-3,2020-09-01,202600,2004-03-01,portal_mar_report
1000-ashland-ave-3,2021-09-01,206000,2004-03-01,portal_mar_report
1000-ashland-ave-3,2023-07-19,212200,2004-03-01,mar_tool
1000-ashland-ave-3,2023-09-01,218100,2004-03-01,portal_mar_report
1000-ashland-ave-3,2024-09-01,224600,2004-03-01,portal_mar_report
1000-ashland-ave-3,2026-06-07,229800,2004-03-01,mar_tool
1000-ashland-ave-4,2012-09-01,122100,,portal_mar_report
1000-ashland-ave-4,2013-09-01,123300,,portal_mar_report
