unit_id,apn,address,unit_label,bedrooms,first_seen_at
1000-ashland-ave-1,4285027001,1000 ASHLAND AVE,1,2,2026-06-07
1000-ashland-ave-2,4285027001,1000 ASHLAND AVE,2,3,2026-06-07
1000-ashland-ave-3,4285027001,1000 ASHLAND AVE,3,2,2026-06-07
1000-ashland-ave-4,4285027001,1000 ASHLAND AVE,4,4,2026-06-07
1000-ashland-ave-5,4285027001,1000 ASHLAND AVE,5,3,2026-06-07
1000-ashland-ave-6,4285027001,1000 ASHLAND AVE,6,3,2026-06-07
1000-ashland-ave-7,4285027001,1000 ASHLAND AVE,7,2,2026-06-07
1001-12th-st,4281018024,1001 12TH ST,,1,2026-06-07
1001-16th-st,4281003021,1001 16TH ST,,2,2026-06-07
1001-19th-st-a,4277025065,1001 19TH ST,A,1,2026-06-07
1001-19th-st-b,4277025066,1001 19TH ST,B,1,2026-06-07
1001-19th-st-c,4277025067,1001 19TH ST,C,1,2026-06-07
1001-19th-st-d,4277025068,1001 19TH ST,D,2,2026-06-07
1001-19th-st-e,4277025069,1001 19TH ST,E,1,2026-06-07
1001-19th-st-f,4277025070,1001 19TH ST,F,1,2026-06-07
1001-19th-st-g,4277025071,1001 19TH ST,G,3,2026-06-07
1001-19th-st-j,4277025072,1001 19TH ST,J,3,2026-06-07
1001-20th-st,4277024049,1001 20TH ST,,1,2026-06-07
1001-20th-st-a,4277024050,1001 20TH ST,A,1,2026-06-07
1001-3rd-st-102,4292019015,1001 3RD ST,102,1,2026-06-07
1001-3rd-st-103,4292019015,1001 3RD ST,103,0,2026-06-07
1001-3rd-st-104,4292019015,1001 3RD ST,104,0,2026-06-07
1001-3rd-st-106,4292019015,1001 3RD ST,106,2,2026-06-07
1001-3rd-st-107,4292019015,1001 3RD ST,107,1,2026-06-07
1001-3rd-st-108,4292019015,1001 3RD ST,108,1,2026-06-07
1001-3rd-st-109,4292019015,1001 3RD ST,109,0,2026-06-07
1001-3rd-st-110,4292019015,1001 3RD ST,110,1,2026-06-07
1001-3rd-st-111,4292019015,1001 3RD ST,111,1,2026-06-07
1001-3rd-st-112,4292019015,1001 3RD ST,112,0,2026-06-07
1001-3rd-st-20,4292019015,1001 3RD ST,20,2,2026-06-07
1001-3rd-st-201,4292019015,1001 3RD ST,201,0,2026-06-07
1001-3rd-st-202,4292019015,1001 3RD ST,202,1,2026-06-07
1001-3rd-st-203,4292019015,1001 3RD ST,203,0,2026-06-07
1001-3rd-st-204,4292019015,1001 3RD ST,204,0,2026-06-07
